criterion_id,nct_id,section,text,scibert_b2_label,scibert_b2_prob,scibert_b3_label,scibert_b3_prob,llm_b2_label,llm_b2_confidence,llm_b3_label,llm_b3_confidence,human_b2_label,human_b3_label,review_flag
NCT02914899_26,NCT02914899,inclusion,20 pack year smoking history,1,1.0,1,1.0,1.0,0.9,1.0,0.8,,,ok
NCT03085225_31,NCT03085225,exclusion,Known history of active tuberculosis,1,0.9931,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT04300244_2,NCT04300244,inclusion,"Measurable disease, defined as at least 1 lesion (measurable) that can be accurately assessed at baseline by computed tomography (CT) or magnetic resonance imaging (MRI) and is suitable for repeated assessment (modified RECIST).",0,0.0006,1,0.9894,1.0,0.8,1.0,0.8,,,disagree
NCT00028795_24,NCT00028795,unknown,See Disease Characteristics Surgery:,1,1.0,1,0.9998,,,,,,,disagree
NCT01969877_2,NCT01969877,inclusion,"Tumor stage III and IV , but no evidence of distant metastases beyond the regional nodes in the neck",1,0.8002,1,1.0,1.0,0.8,1.0,0.8,,,ok
NCT05379205_1,NCT05379205,inclusion,"Diagnostic of nonmetastatic colon cancer (i.e., including right, transverse, left, sigmoid, subtotal, total, and hemicolectomy)",1,0.9998,1,1.0,1.0,0.8,1.0,0.85,,,ok
NCT05848141_4,NCT05848141,inclusion,absence of contraindications to exercise or study participation,0,0.0608,1,0.9969,0.0,0.95,0.0,0.8,,,disagree
NCT03131531_0,NCT03131531,inclusion,Male or female patients 18 years or older,1,1.0,1,0.9747,1.0,1.0,1.0,1.0,,,ok
NCT01543763_26,NCT01543763,inclusion,"History of cerebrovascular accident, including transient ischemic attack (TIA)",1,0.9885,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT06501079_8,NCT06501079,exclusion,Distorted anatomy of the back (e.g. kyphoscoliosis),0,0.0006,1,1.0,0.0,0.6,1.0,0.75,,,low_confidence
NCT02689427_4,NCT02689427,inclusion,AJCC 7th edition stage I-III Breast Cancer,1,1.0,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT00084773_21,NCT00084773,unknown,HIV negative,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT05850013_3,NCT05850013,exclusion,Children of parents/guardians/carers who are non-English speakers,1,0.9996,1,0.599,1.0,0.75,1.0,0.65,,,low_confidence
NCT04946214_4,NCT04946214,inclusion,English or Spanish speaking patients.,0,0.023,0,0.0001,1.0,0.8,1.0,0.75,,,disagree
NCT04250727_12,NCT04250727,exclusion,Uncontrolled asthma (<20 on the Asthma Control Test (ACT) or requiring steroids more than 1x per year),1,1.0,1,1.0,1.0,0.9,1.0,0.75,,,low_confidence
